PLAYER_ID,PLAYER_NAME,GP,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TOV,PF,PTS,AST_TOV,STL_TOV,EFG_PCT,TS_PCT,GP_RANK,MIN_RANK,FGM_RANK,FGA_RANK,FG_PCT_RANK,FG3M_RANK,FG3A_RANK,FG3_PCT_RANK,FTM_RANK,FTA_RANK,FT_PCT_RANK,OREB_RANK,DREB_RANK,REB_RANK,AST_RANK,STL_RANK,BLK_RANK,TOV_RANK,PF_RANK,PTS_RANK,AST_TOV_RANK,STL_TOV_RANK,EFG_PCT1,TS_PCT1
937,Scottie Pippen,1178,41068.0,7420,15700,0.473,978.0,3002.0,0.326,3122,4437,0.704,2068.0,5426.0,7494.0,6135,2307.0,947.0,3257.0,3329,18940,1.884,0.708,0.504,0.536,55,30,56,60,1077,173,136,1262,159,120,2677,102,66,96,38,8,113,23,43,66,861,918,1147,1275
1891,Jason Terry,1410,42034.0,6914,15585,0.444,2282.0,6010.0,0.38,2771,3278,0.845,502.0,2772.0,3274.0,5415,1603.0,275.0,2415.0,2577,18881,2.242,0.664,0.517,0.554,10,27,81,62,1873,11,11,360,210,259,444,878,349,556,57,37,572,76,180,67,519,1101,852,818
203076,Anthony Davis,780,26906.0,7046,13464,0.523,370.0,1243.0,0.298,4374,5504,0.795,2075.0,6271.0,8346.0,1979,1029.0,1799.0,1556.0,1825,18836,1.272,0.661,0.537,0.593,489,249,78,109,359,538,480,1613,64,69,1093,100,44,72,477,169,25,271,531,68,1767,1111,529,292
78435,Chet Walker,1032,33433.0,6876,14628,0.47,,,,5079,6384,0.796,245.0,593.0,7314.0,2126,117.0,10.0,,2727,18831,,,0.47,0.54,132,108,85,84,1143,3711,3711,3711,37,37,1079,1399,1492,104,428,1685,2542,3813,135,69,3813,3813,2051,1161
78318,Isiah Thomas,979,35516.0,7194,15904,0.452,398.0,1373.0,0.29,4036,5316,0.759,951.0,2527.0,3478.0,9061,1861.0,249.0,3682.0,2971,18822,2.461,0.505,0.465,0.516,176,76,71,52,1615,513,445,1700,78,77,1721,451,403,506,10,18,635,9,81,70,380,1919,2196,1881
77498,Bob McAdoo,852,28327.0,7420,14751,0.503,3.0,37.0,0.081,3944,5229,0.754,1818.0,5502.0,8048.0,1951,751.0,1147.0,1223.0,2726,18787,0.771,0.328,0.503,0.551,348,214,56,81,547,2225,1892,2695,85,78,1799,141,63,78,490,343,71,415,136,71,2814,2986,1157,897
202331,Paul George,908,30516.0,6400,14553,0.44,2349.0,6127.0,0.383,3548,4160,0.853,750.0,4934.0,5684.0,3369,1539.0,401.0,2423.0,2418,18697,1.39,0.635,0.52,0.571,259,155,104,86,1990,9,10,316,115,146,381,587,103,219,191,45,370,73,238,72,1571,1216,784,538
2216,Zach Randolph,1116,34620.0,7436,15774,0.471,199.0,729.0,0.273,3507,4592,0.764,3279.0,6929.0,10208.0,2049,834.0,301.0,2290.0,2629,18578,0.895,0.364,0.478,0.522,80,87,53,55,1102,766,691,1824,117,107,1636,23,34,41,458,282,513,89,159,73,2583,2776,1861,1699
76016,Mark Aguirre,923,27730.0,7201,14865,0.484,392.0,1258.0,0.312,3664,4944,0.741,1704.0,2874.0,4578.0,2871,687.0,296.0,2306.0,2599,18458,1.245,0.298,0.498,0.542,237,227,70,79,864,518,472,1456,99,88,2076,168,332,332,263,399,528,88,170,74,1832,3104,1342,1116
78076,Dolph Schayes,996,29800.0,5863,15427,0.38,,,,6712,7904,0.849,,,11256.0,3072,,,,3432,18438,,,0.38,0.488,153,169,144,64,3514,3711,3711,3711,13,24,406,4015,4015,30,228,4015,4015,3813,37,75,3813,3813,3746,2669
202681,Kyrie Irving,779,26880.0,6787,14313,0.474,1876.0,4763.0,0.394,2983,3360,0.888,638.0,2535.0,3173.0,4365,1022.0,337.0,1942.0,1770,18433,2.248,0.526,0.54,0.584,490,252,88,88,1040,25,29,230,179,249,209,691,400,585,100,175,452,140,560,76,516,1792,499,378
600013,Rick Barry,794,28825.0,7252,16163,0.449,73.0,221.0,0.33,3818,4243,0.9,510.0,2366.0,5168.0,4017,1104.0,269.0,574.0,2264,18395,2.118,0.58,0.451,0.51,453,198,67,50,1719,1141,1168,1199,90,136,184,862,439,266,125,135,590,938,296,77,615,1468,2577,2057
1503,Tracy McGrady,938,30658.0,6709,15413,0.435,1081.0,3198.0,0.338,3882,5202,0.746,1300.0,3976.0,5276.0,4161,1136.0,807.0,2029.0,1661,18381,2.051,0.56,0.47,0.519,219,149,92,65,2140,136,115,1030,87,79,2003,287,172,252,118,123,153,128,633,78,661,1587,2041,1770
76681,Julius Erving,836,28677.0,7237,14276,0.507,46.0,176.0,0.261,3844,4950,0.777,2067.0,3534.0,5601.0,3224,1508.0,1293.0,2323.0,2286,18364,1.256,0.581,0.509,0.558,377,203,69,91,493,1292,1259,1895,89,87,1399,103,218,229,205,53,53,84,287,79,1798,1463,1030,747
779,Glen Rice,1000,34982.0,6776,14867,0.456,1559.0,3896.0,0.4,3225,3813,0.846,946.0,3441.0,4387.0,2097,958.0,265.0,1733.0,2361,18336,1.21,0.553,0.508,0.554,151,81,89,78,1515,46,62,187,148,178,442,456,230,352,439,202,597,196,259,80,1910,1638,1038,829
76166,Dave Bing,901,32769.0,6962,15769,0.441,,,,4403,5683,0.775,418.0,741.0,3420.0,5397,483.0,89.0,216.0,2615,18327,1.389,0.366,0.441,0.502,271,116,80,56,1938,3711,3711,3711,62,59,1426,1024,1351,520,58,668,1322,1593,164,81,1573,2768,2799,2286
